DogName	 Count
BELLA	111
BUDDY	81
SADIE	69
BAILEY	65
DAISY	65
MAX	65
LUCY	64
CHARLIE	60
JACK	55
MAGGIE	55
COOPER	52
GINGER	51
MOLLY	49
KENAI	48
LILY	48
LUNA	48
WILLOW	47
BEAR	45
ABBY	44
DENALI	42
ROCKY	42
ROXY	42
DUKE	40
RILEY	40
TOBY	39
KODA	37
HARLEY	35
LADY	35
CHLOE	34
SHADOW	34
PEPPER	33
LUCKY	32
SOPHIE	32
LOLA	31
RUBY	31
JAKE	30
JASPER	29
ROSIE	29
BANDIT	28
DIESEL	27
SCOUT	27
YUKON	27
BUSTER	26
COCO	26
GUS	26
MILO	25
ZOEY	25
LILLY	24
BENTLEY	23
LOKI	23
PENNY	23
PIPER	23
STELLA	23
ZOE	23
ANNIE	22
OSCAR	22
SASHA	22
FINN	21
KODIAK	21
RUGER	21
BLUE	20
DAKOTA	20
EMMA	20
JAX	20
KONA	20
MARLEY	20
OLIVER	20
RAVEN	20
SAM	20
THOR	20
TUCKER	20
MURPHY	19
SUGAR	19
BAXTER	18
CHEWY	18
ELLIE	18
GRACIE	18
KISKA	18
OREO	18
RANGER	18
TITAN	18
BO	17
CHANCE	17
KATIE	17
OTIS	17
WINSTON	17
ANGEL	16
ATHENA	16
BELLE	16
HENRY	16
LEO	16
MIA	16
MINNIE	16
OLIVE	16
SPARKY	16
CODY	15
HAZEL	15
JACKSON	15
LEXI	15
NALA	15
SUNNY	15
TAZ	15
TEDDY	15
COPPER	14
DEXTER	14
DOZER	14
GEORGE	14
GIZMO	14
HUNTER	14
IZZY	14
OAKLEY	14
SITKA	14
DESHKA	13
FRANKIE	13
HANK	13
JOEY	13
LOUIE	13
MADDIE	13
MCKINLEY	13
MISSY	13
MOOSE	13
PEANUT	13
PHOEBE	13
SAMPSON	13
ZEUS	13
APOLLO	12
CHENA	12
COOKIE	12
DIXIE	12
GUNNER	12
HONEY	12
JUNO	12
KOBUK	12
MISTY	12
OLLIE	12
SAMMY	12
TANK	12
TYSON	12
ASPEN	11
BRODY	11
COCOA	11
DALLAS	11
DIAMOND	11
KAI	11
LAYLA	11
MAYA	11
MICKEY	11
ODIN	11
POPPY	11
RUFUS	11
RYDER	11
